Strategy,Universe,RS,Cap,CAGR %,Total Return %,Sharpe,Max DD %,Turnover x/yr,Trades,"Win Rate % (closed, net)",Never-seen Sharpe,Never-seen Max DD %,Last 1y total %,Last 2y total %,2022 (from Apr 1) %,2023 %,2024 %,2025 %,2026 YTD %,Stock total return since 2022-04: mean %,Stock total return since 2022-04: median %,Stock total return since 2022-04: n,Stock total return last 1y: mean %,Stock total return last 1y: median %,Stock total return last 1y: n,Stock total return last 2y: mean %,Stock total return last 2y: median %,Stock total return last 2y: n,"Trade return mean % (closed, net)","Trade return median % (closed, net)",Cap binds (% of weekly decisions),Avg added names held (of 10),Robust Sharpe @0.2%/side,Holdings 2026-09-18 (official),Preview 2026-09-24,Note,P(Sharpe > 78/etf/cap4),"Passes rule vs live (Sharpe>, DD within 2, never-seen Sharpe >= 0.92)",Robust Sharpe start 2022-07,Robust Sharpe start 2023-01,Robust Sharpe start 2023-07,Sector,Window,Stocks,Mean stock return %,Median stock return %,Mean - median (pts),Top 3 stocks,Mean without top 3 %
C6 cap none | 78 | RS sector_median,78,sector_median,,59.1417,694.366,1.6473,-27.1376,37.556,808.0,46.7419,0.9102,-23.0424,101.7056,372.1669,-6.9111,34.7484,145.1905,50.1911,71.9694,,,,,,,,,,0.8715,-0.5884,,,,,,cap check (report only),0.7585,False,,,,,,,,,,,
C6 cap 2 | U84 | RS sector_median,U84,sector_median,2.0,46.113,442.7056,1.5966,-25.4689,39.0313,841.0,45.1264,1.0797,-22.1292,20.8498,205.1542,-6.0378,30.6045,126.9148,86.0537,4.7495,,,,,,,,,,1.06,-0.705,,,,,,cap check (report only),0.777,True,,,,,,,,,,,
C6 cap none | U84 | RS sector_median,U84,sector_median,,56.7494,642.4723,1.6113,-28.172,40.6631,868.0,47.5524,0.7307,-26.4839,112.5023,389.4313,-10.8885,30.584,130.1101,54.3506,79.644,,,,,,,,,,0.9458,-0.4417,,,,,,cap check (report only),0.729,False,,,,,,,,,,,
Sector Communication Services (since 2022-04),U98 members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communication Services,since 2022-04,6.0,255.3794,200.784,54.5954,"ASTS +512%, APP +467%, META +253%",99.9996
Sector Consumer Discretionary (since 2022-04),U98 members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer Discretionary,since 2022-04,6.0,105.1677,104.368,0.7997,"RCL +195%, CVNA +169%, SHOP +115%",50.7378
Sector Energy (since 2022-04),U98 members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy,since 2022-04,9.0,79.5933,38.0301,41.5632,"TRGP +314%, IREN +195%, BKR +74%",22.3567
Sector Financials (since 2022-04),U98 members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Financials,since 2022-04,10.0,145.0013,75.3068,69.6946,"HOOD +794%, C +189%, MS +160%",43.8383
Sector Health Care (since 2022-04),U98 members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health Care,since 2022-04,6.0,124.7529,60.7045,64.0484,"HIMS +449%, MCK +190%, MRK +106%",0.8418
Sector Industrials (since 2022-04),U98 members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrials,since 2022-04,12.0,349.9856,93.2805,256.7051,"VRT +1660%, BE +1004%, RKLB +814%",80.1769
Sector Materials (since 2022-04),U98 members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Materials,since 2022-04,5.0,37.3128,11.1648,26.1479,"STLD +200%, FCX +54%, SW +11%",-39.6193
Sector Technology (since 2022-04),U98 members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Technology,since 2022-04,34.0,206.5093,88.8069,117.7024,"MU +1319%, SMCI +990%, NVDA +727%",128.5563
Sector Communication Services (last 1y),U98 members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communication Services,last 1y,7.0,-14.5054,-28.0778,13.5724,"GOOGL +39%, ASTS +12%, META +3%",-38.7588
Sector Consumer Discretionary (last 1y),U98 members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer Discretionary,last 1y,6.0,-12.1145,-14.5134,2.3989,"AMZN +13%, SHOP -2%, CVNA -14%",-23.0288
Sector Energy (last 1y),U98 members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy,last 1y,9.0,39.9156,36.785,3.1307,"APA +85%, TRGP +68%, SLB +52%",25.6557
Sector Financials (last 1y),U98 members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Financials,last 1y,10.0,-12.624,-10.7768,-1.8473,"C +33%, MS +27%, HOOD -5%",-25.9145
Sector Health Care (last 1y),U98 members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health Care,last 1y,7.0,25.3212,14.7518,10.5694,"MRK +91%, BIIB +64%, REGN +39%",-4.258
Sector Industrials (last 1y),U98 members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrials,last 1y,12.0,23.1211,0.7812,22.3399,"BE +285%, VRT +73%, RKLB +51%",-14.7295
Sector Materials (last 1y),U98 members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Materials,last 1y,5.0,34.1118,24.5447,9.5671,"FCX +93%, STLD +75%, LYB +25%",-10.9587
Sector Technology (last 1y),U98 members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Technology,last 1y,42.0,39.1003,0.9138,38.1865,"MU +569%, AMD +291%, MRVL +224%",14.3025
