Symbol,Entry,Exit,Entry_Open,Exit_Open,Return_net_%,PnL_%_of_equity_at_entry,Sessions,Weeks,Hold bucket,Reason,Exit_Rank,Exit_Score,Below_buy_price_raw,Rebought_4w,Next_Entry,Next_Entry_Open,Churn_cost_%_equity
ZS,2022-09-19,2022-09-26,167.0,158.78,-5.1121,-0.1721,5,1,1 wk,score <= 0,,-8.6327,True,True,2022-10-10,169.49,0.2292
UI,2022-09-19,2022-09-26,293.64,274.53,-6.6948,-0.5882,5,1,1 wk,rank drift (score > 0),12.0,13.1446,True,True,2022-10-03,286.46,0.3849
SNOW,2022-09-19,2022-10-03,183.0,170.67,-6.924,-0.2167,10,2,2–3 wk,rank drift (score > 0),15.0,5.4272,True,False,2024-02-20,226.03,
UBER,2022-09-06,2022-10-03,29.34,26.76,-10.1589,-0.3631,19,4,4–8 wk,rank drift (score > 0),12.0,9.1678,True,False,2023-02-13,34.5,
TSLA,2022-09-12,2022-10-03,300.72,254.5,-15.4973,-0.767,15,3,2–3 wk,rank drift (score > 0),16.0,2.025,True,False,2023-06-26,250.065,
HIMS,2022-09-26,2022-10-10,5.3,5.4,1.6832,0.0913,10,2,2–3 wk,rank drift (score > 0),14.0,7.8796,False,False,2022-11-28,6.09,
ENPH,2022-06-06,2022-10-10,211.0,252.54,-2.6843,0.3828,87,17,9+ wk,score <= 0,,-4.9165,False,False,2022-11-14,299.07,
NFLX,2022-10-03,2022-10-10,23.79,22.56,-5.3597,-0.214,5,1,1 wk,score <= 0,,-3.8991,True,True,2022-10-24,29.02,1.093
AVAV,2022-09-26,2022-10-10,87.81,76.63,-12.9064,-0.533,10,2,2–3 wk,score <= 0,,-20.9851,True,False,2022-11-21,92.73,
SMCI,2022-10-10,2022-10-17,5.987,5.544,-7.5844,-0.2384,5,1,1 wk,rank drift (score > 0),12.0,8.4449,True,True,2022-10-31,6.858,0.6994
