Strategy,Start,End,Days,Total Return %,CAGR %,Sharpe,Sortino,Max DD %,Calmar,Exposure %,Time in Market %,Return per Invested Day (bp),Turnover x/yr,Trades,Closed Trades,"Win Rate % (closed, net)","Avg Trade % (closed, net)",Segment,"Avg win % (closed, net)","Avg loss % (closed, net)",Median hold (sessions)
E3 buffer: hold until rank > 25,2024-09-17,2026-09-24,507,125.435,49.7843,1.3889,2.0341,-37.9669,1.3113,93.8184,100.0,19.416,22.3574,180,170,36.4706,-0.8485,Seen 2024-09→now,15.7544,-10.3798,19.3315
E3 buffer: hold until rank > 25,2025-09-24,2026-09-24,252,19.5583,19.5583,0.758,1.0787,-20.5419,0.9521,97.2294,100.0,9.036,24.2047,94,84,29.7619,-3.3596,Last 12m,7.9245,-8.141,14.4986
E4 score exit: hold until score <= 0,2022-04-01,2026-09-24,1124,208.8851,28.7692,1.0541,1.549,-32.7597,0.8782,87.786,100.0,13.1567,11.1965,193,183,33.3333,-4.0753,WF stitched,14.3114,-13.2687,48.3288
E4 score exit: hold until score <= 0,2022-04-01,2024-09-16,617,44.4093,16.1938,0.8016,1.1304,-16.0298,1.0102,82.8248,100.0,8.3189,10.1686,110,100,31.0,-4.6388,Never-seen 2022-04→2024-09,11.5261,-11.9013,48.3288
E4 score exit: hold until score <= 0,2024-09-17,2026-09-24,507,113.3811,45.7485,1.2933,1.9439,-32.7597,1.3965,93.8235,100.0,18.3034,12.9367,93,83,33.7349,-4.1884,Seen 2024-09→now,17.1545,-15.0539,43.4959
E4 score exit: hold until score <= 0,2025-09-24,2026-09-24,252,12.3108,12.3108,0.5525,0.7639,-23.7364,0.5186,97.2301,100.0,6.3753,14.4856,52,42,23.8095,-8.8062,Last 12m,2.9042,-12.4658,35.5562
E5 score exit: hold until score <= 10,2022-04-01,2026-09-24,1124,125.5544,20.0048,0.8057,1.1561,-33.5834,0.5957,87.6074,100.0,9.9469,14.5646,277,267,32.9588,-3.6947,WF stitched,13.2834,-12.0414,28.9973
E5 score exit: hold until score <= 10,2022-04-01,2024-09-16,617,18.6557,7.2362,0.4233,0.5736,-24.7448,0.2924,82.7566,100.0,4.5738,13.8856,156,146,31.5068,-4.7708,Never-seen 2022-04→2024-09,10.4024,-11.7504,28.9973
E5 score exit: hold until score <= 10,2024-09-17,2026-09-24,507,90.2891,37.683,1.1575,1.7247,-33.5834,1.1221,93.5106,100.0,15.7554,15.8814,131,121,32.2314,-2.8759,Seen 2024-09→now,17.0465,-12.3512,28.9973
E5 score exit: hold until score <= 10,2025-09-24,2026-09-24,252,13.3005,13.3005,0.6005,0.8438,-17.1573,0.7752,97.2228,100.0,6.5668,17.4072,70,60,30.0,-5.3056,Last 12m,8.5486,-11.2431,28.9973
E6 minimum hold 4 weeks,2022-04-01,2026-09-24,1124,303.4562,36.7159,1.2349,1.8783,-29.1043,1.2615,87.7771,100.0,15.9959,25.1381,520,510,49.2157,2.1589,WF stitched,16.3647,-11.6082,19.3315
E6 minimum hold 4 weeks,2022-04-01,2024-09-16,617,33.3684,12.48,0.5942,0.864,-24.7656,0.5039,82.8153,100.0,7.1394,24.3045,291,281,48.3986,-0.266,Never-seen 2022-04→2024-09,11.6375,-11.4307,19.3315
E6 minimum hold 4 weeks,2024-09-17,2026-09-24,507,202.4946,73.3551,1.8593,2.9259,-29.1043,2.5204,93.8155,100.0,25.5089,26.6491,239,229,50.2183,4.6763,Seen 2024-09→now,21.2263,-12.0189,19.3315
