Strategy,Start,End,Days,Total Return %,CAGR %,Sharpe,Sortino,Max DD %,Calmar,Exposure %,Time in Market %,Return per Invested Day (bp),Turnover x/yr,Trades,Closed Trades,"Win Rate % (closed, net)","Avg Trade % (closed, net)",Segment
C2 12-1 momentum,2022-04-01,2024-09-16,617,103.4351,33.6502,1.2261,1.832,-20.8298,1.6155,100.0,100.0,12.9092,31.8431,329,319,42.0063,-0.5335,Never-seen 2022-04→2024-09
C2 12-1 momentum,2024-09-17,2026-09-24,507,137.1505,53.604,1.1934,1.708,-39.5765,1.3544,100.0,100.0,20.9398,37.5935,319,309,40.1294,0.9126,Seen 2024-09→now
C3 sector-neutral momentum,2022-04-01,2026-09-24,1124,375.1749,41.8241,1.1742,1.704,-42.7392,0.9786,100.0,100.0,16.3125,33.0636,624,614,42.1824,0.0602,WF stitched
C3 sector-neutral momentum,2022-04-01,2024-09-16,617,119.0663,37.7528,1.3456,2.0273,-19.7084,1.9156,100.0,100.0,14.0959,30.2743,316,306,43.7908,-0.4377,Never-seen 2022-04→2024-09
C3 sector-neutral momentum,2024-09-17,2026-09-24,507,114.1387,46.0055,1.0925,1.561,-42.7392,1.0764,100.0,100.0,18.7565,36.9559,318,308,40.2597,0.4199,Seen 2024-09→now
C4 vol-adjusted RS,2022-04-01,2026-09-24,1124,277.0227,34.6546,1.2337,1.8381,-29.2628,1.1843,99.9166,100.0,13.2806,42.0452,847,837,45.7587,1.0368,WF stitched
C4 vol-adjusted RS,2022-04-01,2024-09-16,617,43.6939,15.9584,0.7093,1.0322,-22.3432,0.7142,100.0,100.0,7.1574,42.4562,462,452,43.5841,-0.1672,Never-seen 2022-04→2024-09
C4 vol-adjusted RS,2024-09-17,2026-09-24,507,160.5903,60.9713,1.7878,2.7241,-29.2628,2.0836,99.815,100.0,20.6106,42.0457,395,385,48.0519,2.301,Seen 2024-09→now
C5 equal weight,2022-04-01,2026-09-24,1124,728.8286,60.6642,1.4003,2.1383,-39.6077,1.5316,100.0,100.0,21.9037,38.8508,849,839,47.795,2.7172,WF stitched
C5 equal weight,2022-04-01,2024-09-16,617,78.4768,26.6931,0.8331,1.2369,-28.5762,0.9341,100.0,100.0,11.9954,38.1775,461,451,46.7849,0.6907,Never-seen 2022-04→2024-09
C5 equal weight,2024-09-17,2026-09-24,507,357.4001,112.9093,1.9778,3.096,-39.6077,2.8507,100.0,100.0,33.6624,40.1659,398,388,48.4536,4.2152,Seen 2024-09→now
C6 soft regime (QQQ<200d -> 50%),2022-04-01,2026-09-24,1124,450.3576,46.5724,1.468,2.2281,-28.5835,1.6293,87.7852,100.0,19.1834,39.8406,849,839,46.1263,0.979,WF stitched
C6 soft regime (QQQ<200d -> 50%),2022-04-01,2024-09-16,617,63.6313,22.2782,0.9244,1.3781,-22.3251,0.9979,82.8298,100.0,11.1549,38.2087,461,451,44.3459,-0.3701,Never-seen 2022-04→2024-09
C6 soft regime (QQQ<200d -> 50%),2024-09-17,2026-09-24,507,231.4298,81.4079,1.9801,3.0414,-28.5835,2.8481,93.8159,100.0,27.4989,42.3231,398,388,47.6804,2.3979,Seen 2024-09→now
C7 vol target 20%,2022-04-01,2026-09-24,1124,329.2844,38.6312,1.4183,2.1433,-26.1585,1.4768,85.0568,100.0,16.7398,37.5114,849,839,46.0072,0.8892,WF stitched
C7 vol target 20%,2022-04-01,2024-09-16,617,43.9042,16.0277,0.7476,1.0804,-21.0167,0.7626,87.8123,100.0,7.9786,38.6966,461,451,44.3459,-0.3568,Never-seen 2022-04→2024-09
C7 vol target 20%,2024-09-17,2026-09-24,507,194.3733,71.0259,2.1134,3.3343,-26.1588,2.7152,81.7487,100.0,27.8613,36.571,398,388,47.4227,2.2209,Seen 2024-09→now
C8 ATR 3x stop,2022-04-01,2026-09-24,1124,401.1257,43.525,1.3647,2.0426,-34.6678,1.2555,96.8247,100.0,16.6306,45.3449,899,889,45.6693,1.1819,WF stitched
C8 ATR 3x stop,2022-04-01,2024-09-16,617,62.363,21.8902,0.8745,1.2844,-21.9489,0.9973,97.182,100.0,9.5408,45.2214,489,479,45.0939,0.1069,Never-seen 2022-04→2024-09
C8 ATR 3x stop,2024-09-17,2026-09-24,507,204.1387,73.8228,1.8417,2.7974,-34.6678,2.1294,96.39,100.0,25.0271,45.9917,420,410,46.0976,2.3619,Seen 2024-09→now
C9 50% QQQ + 50% C0,2022-04-01,2026-09-24,1124,253.5176,32.7252,1.2819,1.8877,-27.6425,1.1839,100.0,100.0,12.4235,22.2375,850,839,46.7223,1.2143,WF stitched
C9 50% QQQ + 50% C0,2022-04-01,2024-09-16,617,46.4496,16.8616,0.781,1.1205,-23.961,0.7037,100.0,100.0,7.2799,22.2759,462,451,45.0111,-0.2881,Never-seen 2022-04→2024-09
C9 50% QQQ + 50% C0,2024-09-17,2026-09-24,507,138.7103,54.1053,1.8245,2.7623,-27.6425,1.9573,100.0,100.0,18.4625,22.6818,399,388,48.1959,2.811,Seen 2024-09→now
C10 monthly rebalance,2022-04-01,2026-09-24,1124,340.6935,39.4489,1.2336,1.8216,-30.2212,1.3053,100.0,100.0,15.0893,15.503,330,320,46.875,5.3658,WF stitched
C10 monthly rebalance,2022-04-01,2024-09-16,617,92.2732,30.6052,1.0835,1.6257,-18.9757,1.6129,100.0,100.0,12.1907,15.6706,183,173,46.8208,1.8724,Never-seen 2022-04→2024-09
C10 monthly rebalance,2024-09-17,2026-09-24,507,128.8587,50.9106,1.3937,2.0317,-30.2212,1.6846,100.0,100.0,18.5876,15.7908,157,147,46.2585,6.8141,Seen 2024-09→now
C11 buffer15 + 50% QQQ core,2022-04-01,2026-09-24,1124,201.1303,28.0373,1.1345,1.6658,-28.6885,0.9773,100.0,100.0,10.995,16.0909,576,565,40.708,-0.0945,WF stitched
C11 buffer15 + 50% QQQ core,2022-04-01,2024-09-16,617,36.0674,13.4042,0.6579,0.9416,-24.2014,0.5539,100.0,100.0,6.0624,16.1464,315,304,39.8026,-1.5288,Never-seen 2022-04→2024-09
C11 buffer15 + 50% QQQ core,2024-09-17,2026-09-24,507,120.5189,48.1518,1.6531,2.4916,-28.6885,1.6784,100.0,100.0,16.9273,16.5176,272,261,41.3793,1.1927,Seen 2024-09→now
WF-P walk-forward N & w_tech,2022-04-01,2026-09-24,1124,300.505,36.4911,1.1373,1.6632,-33.3228,1.0951,100.0,100.0,14.364,47.784,786,781,47.6312,1.3786,WF stitched
WF-P walk-forward N & w_tech,2022-04-01,2024-09-16,617,18.4502,7.1603,0.3791,0.5389,-33.3228,0.2149,100.0,100.0,4.5938,47.9098,394,389,46.5296,-0.083,Never-seen 2022-04→2024-09
WF-P walk-forward N & w_tech,2024-09-17,2026-09-24,507,233.3852,81.9391,1.9694,2.9611,-31.6944,2.5853,100.0,100.0,25.9718,48.1231,397,392,48.7245,2.7769,Seen 2024-09→now
WF-M walk-forward meta (diagnostic),2022-04-01,2026-09-24,1124,585.3068,53.9589,1.4581,2.2078,-39.6006,1.3626,99.5649,100.0,19.4367,33.2333,687,676,44.2308,1.4004,WF stitched
WF-M walk-forward meta (diagnostic),2022-04-01,2024-09-16,617,114.2271,36.5018,1.2369,1.8844,-17.6619,2.0667,99.7738,100.0,13.9818,28.4377,305,295,42.3729,-0.1082,Never-seen 2022-04→2024-09
WF-M walk-forward meta (diagnostic),2024-09-17,2026-09-24,507,215.8115,77.1073,1.6718,2.5214,-39.6006,1.9471,99.3107,100.0,25.8509,39.567,392,381,45.4068,2.4472,Seen 2024-09→now
EW universe buy & hold,2022-04-01,2026-09-24,1124,198.6058,27.7958,0.8608,1.2315,-35.7584,0.7773,100.0,100.0,12.3168,0.224,68,0,,,WF stitched
EW universe buy & hold,2022-04-01,2024-09-16,617,53.7935,19.2204,0.6906,0.9955,-35.7584,0.5375,100.0,100.0,9.2248,0.408,68,0,,,Never-seen 2022-04→2024-09
EW universe buy & hold,2024-09-17,2026-09-24,507,143.2949,55.5694,1.2284,1.8087,-37.1369,1.4963,100.0,100.0,21.346,0.4965,75,0,,,Seen 2024-09→now
