Strategy,Start,End,Days,Total Return %,CAGR %,Sharpe,Sortino,Max DD %,Calmar,Exposure %,Time in Market %,Return per Invested Day (bp),Turnover x/yr,Trades,Closed Trades,"Win Rate % (closed, net)","Avg Trade % (closed, net)",Period,Family,Params
C: top5 w_tech=0.7 regime=on,2025-09-17,2026-09-24,257,64.759,63.166,1.679,2.649,-20.097,3.143,97.805,100.0,21.986,59.132,146,141,51.773,2.327,OOS,C,"N=5, w_tech=0.7, regime=True, sector cap 40%, inv-vol"
C: top5 w_tech=0.7 regime=on,2024-09-17,2026-09-24,507,255.384,87.811,1.893,2.993,-34.719,2.529,94.08,100.0,29.472,56.749,270,265,52.075,2.76,Full,C,"N=5, w_tech=0.7, regime=True, sector cap 40%, inv-vol"
C: top10 w_tech=0.3 regime=off,2024-09-17,2025-09-16,250,141.679,143.392,2.421,3.766,-33.386,4.295,100.0,100.0,38.537,42.127,180,170,52.353,2.943,IS,C,"N=10, w_tech=0.3, regime=False, sector cap 40%, inv-vol"
C: top10 w_tech=0.3 regime=off,2025-09-17,2026-09-24,257,27.929,27.317,0.939,1.377,-21.952,1.244,100.0,100.0,11.462,38.938,181,171,39.181,-0.19,OOS,C,"N=10, w_tech=0.3, regime=False, sector cap 40%, inv-vol"
C: top10 w_tech=0.3 regime=off,2024-09-17,2026-09-24,507,207.681,74.826,1.745,2.653,-33.386,2.241,100.0,100.0,24.715,40.016,351,341,46.921,2.051,Full,C,"N=10, w_tech=0.3, regime=False, sector cap 40%, inv-vol"
C: top10 w_tech=0.5 regime=off,2024-09-17,2025-09-16,250,157.529,159.486,2.627,4.135,-32.964,4.838,100.0,100.0,40.96,46.561,201,191,52.356,3.167,IS,C,"N=10, w_tech=0.5, regime=False, sector cap 40%, inv-vol"
C: top10 w_tech=0.5 regime=off,2025-09-17,2026-09-24,257,35.275,34.482,1.182,1.743,-23.638,1.459,100.0,100.0,13.376,42.538,207,197,41.624,0.649,OOS,C,"N=10, w_tech=0.5, regime=False, sector cap 40%, inv-vol"
C: top10 w_tech=0.5 regime=off,2024-09-17,2026-09-24,507,246.685,85.511,1.975,3.039,-32.964,2.594,100.0,100.0,26.88,44.029,398,388,47.938,2.711,Full,C,"N=10, w_tech=0.5, regime=False, sector cap 40%, inv-vol"
C: top10 w_tech=0.7 regime=off,2024-09-17,2025-09-16,250,92.461,93.472,2.114,3.042,-35.99,2.597,98.826,100.0,28.867,50.669,231,221,50.226,2.294,IS,C,"N=10, w_tech=0.7, regime=False, sector cap 40%, inv-vol"
C: top10 w_tech=0.7 regime=off,2025-09-17,2026-09-24,257,44.587,43.554,1.501,2.236,-15.193,2.867,100.0,100.0,15.74,47.339,235,225,44.0,1.66,OOS,C,"N=10, w_tech=0.7, regime=False, sector cap 40%, inv-vol"
C: top10 w_tech=0.7 regime=off,2024-09-17,2026-09-24,507,176.668,65.833,1.819,2.65,-35.99,1.829,99.421,100.0,22.059,48.485,456,446,47.758,2.392,Full,C,"N=10, w_tech=0.7, regime=False, sector cap 40%, inv-vol"
C: top10 w_tech=0.3 regime=on,2024-09-17,2025-09-16,250,146.922,148.714,2.523,3.915,-31.542,4.715,97.321,100.0,40.343,38.549,158,148,53.378,3.333,IS,C,"N=10, w_tech=0.3, regime=True, sector cap 40%, inv-vol"
C: top10 w_tech=0.3 regime=on,2025-09-17,2026-09-24,257,24.421,23.893,0.853,1.251,-21.952,1.088,99.106,100.0,10.452,37.37,174,164,39.634,-0.41,OOS,C,"N=10, w_tech=0.3, regime=True, sector cap 40%, inv-vol"
C: top10 w_tech=0.3 regime=on,2024-09-17,2026-09-24,507,205.735,74.276,1.758,2.669,-31.542,2.355,98.226,100.0,24.956,37.457,322,312,47.436,2.108,Full,C,"N=10, w_tech=0.3, regime=True, sector cap 40%, inv-vol"
C: top10 w_tech=0.5 regime=on,2024-09-17,2025-09-16,250,131.74,133.303,2.473,3.85,-30.78,4.331,90.89,100.0,40.041,42.043,175,165,52.121,2.659,IS,C,"N=10, w_tech=0.5, regime=True, sector cap 40%, inv-vol"
C: top10 w_tech=0.5 regime=on,2025-09-17,2026-09-24,257,35.694,34.891,1.195,1.765,-23.638,1.476,99.65,100.0,13.533,40.562,198,188,43.085,0.677,OOS,C,"N=10, w_tech=0.5, regime=True, sector cap 40%, inv-vol"
C: top10 w_tech=0.5 regime=on,2024-09-17,2026-09-24,507,212.933,76.303,1.885,2.876,-30.78,2.479,95.331,100.0,25.893,40.8,363,353,48.442,2.507,Full,C,"N=10, w_tech=0.5, regime=True, sector cap 40%, inv-vol"
C: top10 w_tech=0.7 regime=on,2024-09-17,2025-09-16,250,90.294,91.276,2.177,3.202,-28.026,3.257,87.725,100.0,31.729,45.237,201,191,50.785,2.366,IS,C,"N=10, w_tech=0.7, regime=True, sector cap 40%, inv-vol"
C: top10 w_tech=0.7 regime=on,2025-09-17,2026-09-24,257,43.952,42.936,1.499,2.231,-15.193,2.826,98.559,100.0,15.766,45.447,226,216,45.37,1.552,OOS,C,"N=10, w_tech=0.7, regime=True, sector cap 40%, inv-vol"
C: top10 w_tech=0.7 regime=on,2024-09-17,2026-09-24,507,172.352,64.542,1.85,2.732,-28.026,2.303,93.217,100.0,23.05,44.847,417,407,48.649,2.392,Full,C,"N=10, w_tech=0.7, regime=True, sector cap 40%, inv-vol"
D1: C + flat through earnings,2024-09-17,2025-09-16,250,142.413,144.136,2.565,3.96,-32.538,4.43,98.383,100.0,38.909,53.77,239,229,55.022,3.226,IS,D,C: top10 w_tech=0.5 regime=off with earnings overlay
D1: C + flat through earnings,2025-09-17,2026-09-24,257,24.459,23.93,0.905,1.309,-24.576,0.974,98.368,100.0,10.248,49.762,241,231,41.558,0.585,OOS,D,C: top10 w_tech=0.5 regime=off with earnings overlay
D1: C + flat through earnings,2024-09-17,2026-09-24,507,200.241,72.712,1.816,2.738,-32.538,2.235,98.375,100.0,24.283,51.246,470,460,49.13,2.408,Full,D,C: top10 w_tech=0.5 regime=off with earnings overlay
"D2: post-earnings drift >=5%, hold 10d",2024-09-17,2025-09-16,250,21.785,21.977,1.067,1.59,-22.667,0.97,33.501,77.6,26.055,16.873,85,82,56.098,2.586,IS,D,"reaction>=+5%, hold 10, max 10 @10%"
"D2: post-earnings drift >=5%, hold 10d",2025-09-17,2026-09-24,257,-6.852,-6.724,-0.325,-0.451,-13.309,-0.505,28.833,75.097,-7.595,14.833,76,76,43.421,-0.786,OOS,D,"reaction>=+5%, hold 10, max 10 @10%"
"D2: post-earnings drift >=5%, hold 10d",2024-09-17,2026-09-24,507,13.6,6.543,0.43,0.622,-22.667,0.289,31.134,76.331,10.348,15.69,158,158,50.0,1.02,Full,D,"reaction>=+5%, hold 10, max 10 @10%"
"D2: post-earnings drift >=5%, hold 20d",2024-09-17,2025-09-16,250,6.671,6.727,0.383,0.511,-32.628,0.206,50.336,90.0,7.787,12.635,67,59,55.932,1.007,IS,D,"reaction>=+5%, hold 20, max 10 @10%"
"D2: post-earnings drift >=5%, hold 20d",2025-09-17,2026-09-24,257,2.281,2.236,0.21,0.302,-15.824,0.141,47.526,96.109,3.84,12.456,66,61,45.902,0.821,OOS,D,"reaction>=+5%, hold 20, max 10 @10%"
"D2: post-earnings drift >=5%, hold 20d",2024-09-17,2026-09-24,507,10.3,4.993,0.324,0.447,-32.628,0.153,48.955,93.097,6.286,12.16,125,120,50.833,1.628,Full,D,"reaction>=+5%, hold 20, max 10 @10%"
C + DD brake 15%/0.5 (top10 w_tech=0.5 regime=off),2024-09-17,2025-09-16,250,155.472,157.397,2.806,4.467,-25.075,6.277,87.448,100.0,45.921,42.607,201,191,52.356,2.728,IS,C,C: top10 w_tech=0.5 regime=off + halve weights while DD > 15%
C + DD brake 15%/0.5 (top10 w_tech=0.5 regime=off),2025-09-17,2026-09-24,257,31.289,30.596,1.113,1.626,-21.556,1.419,90.686,100.0,13.322,39.088,207,197,41.117,0.652,OOS,C,C: top10 w_tech=0.5 regime=off + halve weights while DD > 15%
C + DD brake 15%/0.5 (top10 w_tech=0.5 regime=off),2024-09-17,2026-09-24,507,233.782,82.047,2.035,3.136,-25.075,3.272,89.09,100.0,28.991,40.331,398,388,47.68,2.496,Full,C,C: top10 w_tech=0.5 regime=off + halve weights while DD > 15%
C walk-forward (6m re-selection),2025-09-17,2026-09-24,257,48.642,47.5,1.38,2.078,-18.422,2.578,97.805,100.0,17.837,52.14,177,172,47.674,1.606,OOS,C,"2025-09-17→2026-03-16: N=10, regime=False, w=0.5; 2026-03-17→end: N=5, regime=True, w=0.7"
